Fecha_Local,Presión_Atmosferica_[Pa],Humedad_[Kg m-2],Velocidad_[m s-1],Temperatura_[° C],Angulo,url
2021-01-03,101186.0,36.0,4.13,24.69,17.0,week1.png
2021-01-10,101168.0,37.0,3.21,24.54,11.0,week2.png
2021-01-17,101082.0,33.0,3.67,24.88,11.0,week3.png
2021-01-24,101078.0,32.0,4.03,24.95,18.0,week4.png
2021-01-31,101028.0,30.0,4.37,25.04,18.0,week5.png
2021-02-07,101014.0,36.0,3.72,25.48,9.0,week6.png
2021-02-14,101057.0,35.0,3.69,25.36,10.0,week7.png
2021-02-21,101239.0,34.0,3.72,25.25,12.0,week8.png
2021-02-28,101016.0,36.0,4.58,25.53,18.0,week9.png
2021-03-07,101089.0,31.0,3.89,25.06,14.0,week10.png
2021-03-14,101273.0,36.0,3.78,24.92,18.0,week11.png
2021-03-21,101154.0,40.0,3.74,25.06,13.0,week12.png
